formula,synonym,description
CoAl2O4,cobalt(II) aluminate,"Cobalt blue is a blue pigment made by sintering cobalt(II) oxide with aluminum(III) oxide (alumina) at 1200 °C. Chemically, cobalt blue pigment is cobalt(II) oxide-aluminium oxide, or cobalt(II) aluminate, CoAl2O4. Cobalt blue is lighter and less intense than the (iron-cyanide based) pigment Prussian blue. It is extremely stable and historically has been used as a coloring agent in ceramics (especially Chinese porcelain), jewelry, and paint. Transparent glasses are tinted with the silica-based cobalt pigment ""smalt"".
"
Cl2O8,Chlorine octaoxide,NO DESCRIPTION
CF3Cl,chlorotrifluoromethane,"Chlorotrifluoromethane, R-13, CFC-13, or Freon 13, is a non-flammable, non-corrosive, nontoxic chlorofluorocarbon (CFC) and also a mixed halomethane.  It is a man-made substance used primarily as a refrigerant.  When released into the environment, CFC-13 has a high ozone depletion potential, and long atmospheric lifetime. Only a few other greenhouse gases surpass CFC-13 in global warming potential (GWP).: 2  The IPCC AR5 reported that CFC-13's atmospheric lifetime was 640 years.
"
Cl2O7,chlorine heptoxide,NO DESCRIPTION
Cl2O3,chlorine trioxide,"Dichlorine hexoxide is the chemical compound with the molecular formula Cl2O6, which is correct for its gaseous state. However, in liquid or solid form, this chlorine oxide ionizes into the dark red ionic compound chloryl perchlorate [ClO2]+[ClO4]−, which may be thought of as the mixed anhydride of chloric and perchloric acids.
"
Cl2,chlorine,"Chlorine is a chemical element; it has symbol Cl and atomic number 17. The second-lightest of the halogens, it appears between fluorine and bromine in the periodic table and its properties are mostly intermediate between them. Chlorine is a yellow-green gas at room temperature. It is an extremely reactive element and a strong oxidising agent: among the elements, it has the highest electron affinity and the third-highest electronegativity on the revised Pauling scale, behind only oxygen and fluorine.
"
ClO3F,chlorine trioxide fluoride,NO DESCRIPTION
ClO2,chlorine dioxide,"Chlorine dioxide is a chemical compound with the formula ClO2 that exists as yellowish-green gas above 11 °C, a reddish-brown liquid between 11 °C and −59 °C, and as bright orange crystals below −59 °C. It is usually handled as an aqueous solution.  It is commonly used as a bleach. More recent developments have extended its applications in food processing and as a disinfectant.
"
ClOClO3,chlorine perchlorate,"Chlorine perchlorate is a chemical compound with the formula Cl2O4.  This chlorine oxide is an asymmetric oxide, with one chlorine atom in +1 oxidation state and the other +7, with proper formula ClOClO3. It is produced by the photodimerization of chlorine dioxide (ClO2) at room temperature by 436 nm ultraviolet light:
"
ClF5,chlorine pentafluoride,"Chlorine pentafluoride is an interhalogen compound with formula ClF5.  This colourless gas is a strong oxidant that was once a candidate oxidizer for rockets.  The molecule adopts a square pyramidal structure with C4v symmetry, as confirmed by its high-resolution 19F NMR spectrum. It was first synthesized in 1963.
"
ClF3,chlorine trifluoride,"Chlorine trifluoride is an interhalogen compound with the formula ClF3. This colorless, poisonous, corrosive, and extremely reactive gas condenses to a pale-greenish yellow liquid, the form in which it is most often sold (pressurized at room temperature). Despite being famous for its extreme oxidation properties and igniting many things, chlorine trifluoride is not combustible itself. The compound is primarily of interest in plasmaless cleaning and etching operations in the semiconductor industry, in nuclear reactor fuel processing, historically as a component in rocket fuels, and various other industrial operations owing to its corrosive nature.
"
ClF,chlorine fluoride,"A chlorine fluoride is an interhalogen compound containing only chlorine and fluorine.
"
Cl2O6,chlorine hexoxide,NO DESCRIPTION
CH3CONH2,acetamide  ethanamide,"Acetamide (systematic name: ethanamide) is an organic compound with the formula CH3CONH2. It is derived from acetic acid.  It finds some use as a plasticizer and as an industrial solvent. The related compound N,N-dimethylacetamide (DMA) is more widely used, but it is not prepared from acetamide. Acetamide can be considered an intermediate between acetone, which has two methyl (CH3) groups either side of the carbonyl (CO), and urea which has two amide (NH2) groups in those locations. Acetamide is also a naturally occurring mineral with the IMA symbol: Ace.
"
C6H5CH2OH,benzyl alcohol,"Benzyl alcohol (also known as α-cresol) is an aromatic alcohol with the formula C6H5CH2OH. The benzyl group is often abbreviated ""Bn"" (not to be confused with ""Bz"" which is used for benzoyl), thus benzyl alcohol is denoted as BnOH.  Benzyl alcohol is a colorless liquid with a mild pleasant aromatic odor. It is a useful as a solvent for its polarity, low toxicity, and low vapor pressure. Benzyl alcohol has moderate solubility in water (4 g/100 mL) and is miscible in alcohols and diethyl ether. The anion produced by deprotonation of the alcohol group is known as benzylate or benzyloxide.
"
CH3COOCHCH2,vinyl acetate,"Vinyl acetate is an organic compound with the formula CH3CO2CH=CH2. This colorless liquid is the precursor to polyvinyl acetate, ethene-vinyl acetate copolymers, polyvinyl alcohol, and other important industrial polymers.
"
C5H9NO2,allylglycine,"Allylglycine is a glycine derivative. It is an inhibitor of glutamate decarboxylase. Inhibition of glutamate decarboxylase blocks GABA biosynthesis, leading to lower levels of the neurotransmitter. Allylglycine is known to induce seizures in animals studies, presumably due to this GDC-inhibiting activity.
"
C5H9NO,3-Dimethylaminoacrolein,"3-Dimethylaminoacrolein is an organic compound with the formula Me2NC(H)=CHCHO. It is a pale yellow water-soluble liquid. The compound has a number of useful and unusual properties, e.g. it ""causes a reversal of the hypnotic effect of morphine in mice"" and has a ""stimulating effect in humans"".
"
C5H8O2,gamma-Valerolactone,"γ-Valerolactone (GVL) or gamma-valerolactone is an organic compound with the formula C5H8O2. This colourless liquid is one of the more common lactones.  GVL is chiral but is usually used as the racemate. It is readily obtained from cellulosic biomass and is a potential fuel and green solvent.
"
C5H7N3,"3,4-diaminopyridine","Amifampridine is used as a drug, predominantly in the treatment of a number of rare muscle diseases. The free base form of the drug has been used to treat congenital myasthenic syndromes and Lambert–Eaton myasthenic syndrome (LEMS) through compassionate use programs since the 1990s and was recommended as a first line treatment for LEMS in 2006, using ad hoc forms of the drug, since there was no marketed form.
"
C5H6O5,α-Ketoglutaric acid,"α-Ketoglutaric acid (2-oxoglutaric acid) is a keto acid.
"
C5H6O,cyclopentenone,"2-Cyclopentenone is the organic compound with the chemical formula (CH2)2(CH)2CO.  2-Cyclopentenone contains two functional groups, a ketone and an alkene. It is a colorless liquid.  Its isomer, 3-cyclopentenone is less commonly encountered.
"
C5H6N2O2,thymine,"Thymine (/ˈθaɪmɪn/) (symbol T or Thy) is one of the four nucleobases in the nucleic acid of DNA that are represented by the letters G–C–A–T. The others are adenine, guanine, and cytosine.  Thymine is also known as 5-methyluracil, a pyrimidine nucleobase. In RNA, thymine is replaced by the nucleobase uracil.  Thymine was first isolated in 1893 by Albrecht Kossel and Albert Neumann from calf thymus glands, hence its name.
"
C5H6N2OS,methylthiouracil,"Methylthiouracil is an organosulfur compound that is used antithyroid preparation. It is a thioamide, closely related to propylthiouracil. Methylthiouracil is not used clinically in the United States, it has a similar mechanism of action and side effect to that of propylthiouricil. The drug acts to decrease the formation of stored thyroid hormone, as thyroglobulin in the thyroid gland. The clinical effects of the drug to treat the hyperthyroid state can have a lag period of up to two weeks, depending on the stores of thyroglobulin and other factors.
"
C5H6N2,glutaronitrile,"Glutaronitrile, also pentanedinitrile, is a nitrile, with formula C3H6(CN)2.
"
C5H9NO2,proline  Pro,"Proline (symbol Pro or P) is an organic acid classed as a proteinogenic amino acid (used in the biosynthesis of proteins), although it does not contain the amino group -NH2 but is rather a secondary amine. The secondary amine nitrogen is in the protonated form (NH2+) under biological conditions, while the carboxyl group is in the deprotonated −COO− form. The ""side chain"" from the α carbon connects to the nitrogen forming a pyrrolidine loop, classifying it as a aliphatic amino acid. It is non-essential in humans, meaning the body can synthesize it from the non-essential amino acid L-glutamate. It is encoded by all the codons starting with CC (CCU, CCC, CCA, and CCG).
"
C5H6N2,4-aminopyridine,"4-Aminopyridine (4-AP, fampridine, dalfampridine) is an organic compound with the chemical formula C5H4N–NH2.  The molecule is one of the three isomeric amines of pyridine.  It is used as a research tool in characterizing subtypes of the potassium channel.  It has also been used as a drug, to manage some of the symptoms of multiple sclerosis, and is indicated for symptomatic improvement of walking in adults with several variations of the disease. It was undergoing Phase III clinical trials as of 2008[update], and the U.S. Food and Drug Administration (FDA) approved the compound on January 22, 2010. Fampridine is also marketed as Ampyra (pronounced ""am-PEER-ah,"" according to the maker's website) in the United States by Acorda Therapeutics and as Fampyra in the European Union, Canada, and Australia. In Canada, the medication has been approved for use by Health Canada since February 10, 2012.
"
C5H6N2,2-aminopyridine,"2-Aminopyridine is an organic compound with the formula H2NC5H4N. It is one of three isomeric aminopyridines. It is a colourless solid that is used in the production of the drugs piroxicam, sulfapyridine, tenoxicam, and tripelennamine.  It is produced by the reaction of sodium amide with pyridine, the Chichibabin reaction.
"
C5H6N2,1-vinylimidazole,NO DESCRIPTION
C5H6N2,"1,4-diazepine","1,4-Diazepine is a diazepine. It is a core element in the structure of benzodiazepines and thienodiazepines.
"
C5H6N2,"1,3-diazepine","1,3-Diazepine is a diazepine. It is a scaffold found in some natural products and drugs. It is found in the drugs pentostatin and avibactam. Coformycin is a naturally occurring antibiotic.
"
C5H6N2,"1,2-diazepine","1,2-Diazepine is a seven-membered heterocyclic compound with two nitrogen atoms (e.g., in ring positions 1 and 2) and three double bonds.
"
C5H6BNO2,3-pyridinylboronic acid,NO DESCRIPTION
C5H5N5O,guanine,"Guanine (/ˈɡwɑːnɪn/ ⓘ) (symbol G or Gua) is one of the four main nucleobases found in the nucleic acids DNA and RNA, the others being adenine, cytosine, and thymine (uracil in RNA). In DNA, guanine is paired with cytosine. The guanine nucleoside is called guanosine.
"
C5H5N5,adenine,"Adenine (/ˈædɪnɪn/) (symbol A or Ade) is a  purine nucleobase. It is one of the four nucleobases in the nucleic acids of DNA, the other three being guanine (G), cytosine (C), and thymine (T). Adenine derivatives have various roles in biochemistry including cellular respiration, in the form of both the energy-rich adenosine triphosphate (ATP) and the cofactors nicotinamide adenine dinucleotide (NAD), flavin adenine dinucleotide (FAD) and Coenzyme A. It also has functions in protein synthesis and as a chemical component of DNA and RNA. The shape of adenine is complementary to either thymine in DNA or uracil in RNA.
"
C5H5N3O2,2-amino-nitropyridine,NO DESCRIPTION
C5H6N2,3-aminopyridine,"3-Aminopyridine is an aminopyridine. It is a colorless solid.
"
C5H9NO4,glutamic acid  Glu,"Glutamic acid (symbol Glu or E; the anionic form is known as glutamate) is an α-amino acid that is used by almost all living beings in the biosynthesis of proteins. It is a non-essential nutrient for humans, meaning that the human body can synthesize enough for its use. It is also the most abundant excitatory neurotransmitter in the vertebrate nervous system. It serves as the precursor for the synthesis of the inhibitory gamma-aminobutyric acid (GABA) in GABAergic neurons.
"
C5H10,cyclopentane,"Cyclopentane (also called C pentane) is a highly flammable alicyclic hydrocarbon with chemical formula C5H10 and CAS number 287-92-3, consisting of a ring of five carbon atoms each bonded with two hydrogen atoms above and below the plane. It occurs as a colorless liquid with a petrol-like odor. Its freezing point is −94 °C and its boiling point is 49 °C. Cyclopentane is in the class of cycloalkanes, being alkanes that have one or more carbon rings. It is formed by cracking cyclohexane in the presence of alumina at a high temperature and pressure.
"
C5H10N2O3,glutamine  Gln,"Glutamine (symbol Gln or Q) is an α-amino acid that is used in the biosynthesis of proteins.  Its side chain is similar to that of glutamic acid, except the carboxylic acid group is replaced by an amide. It is classified as a charge-neutral, polar amino acid.  It is non-essential and conditionally essential in humans, meaning the body can usually synthesize sufficient amounts of it, but in some instances of stress, the body's demand for glutamine increases, and glutamine must be obtained from the diet. It is encoded by the codons CAA and CAG. It is named after glutamic acid, which in turn is named after its discovery in cereal proteins, gluten.
"
C6H4N4,tricyanoaminopropene,"Tricyanoaminopropene (TRIAP, TCAP, Malononitrile Dimer, 1,1,3-tricyano-2-amino-1-propene) is a nootropic drug which mimics the function of nerve growth factor and increases the growth of nerves and tissue regeneration both in isolated tissues and in vivo. It stimulates the action of the enzyme choline acetyltransferase, resulting in increased acetylcholine production. This then results in increased synthesis of RNA in many different tissues in the body. However it also suppresses the production of thyroxine, causing temporary hypothyroidism which returns to normal once the drug is discontinued.
"
C6H4ClNO2,6-chloronicotinic acid,"
Neonicotinoids (sometimes shortened to neonics /ˈniːoʊnɪks/) are a class of neuro-active insecticides chemically similar to nicotine, developed by scientists at Shell and Bayer in the 1980s.
"
C6H4ClNO2,6-chloro-2-pyridinecarboxylic acid,NO DESCRIPTION
C6H4ClN3,4-Chlorophenyl azide,"4-Chlorophenyl azide is an organic aryl azide compound with the chemical formula C6H4ClN3. The geometry between the nitrogen atoms in the azide functional group is approximately linear while the geometry between the nitrogen and the carbon of the benzene is  trigonal planar.
"
C6H4ClNO2,2-chloronicotinic acid,NO DESCRIPTION
C6H4BrNO2,5-bromonicotinic acid,NO DESCRIPTION
C6H3Cl3O,"2,4,6-Trichlorophenol","2,4,6-Trichlorophenol, also known as TCP, phenaclor, Dowicide 2S, Dowcide 2S, omal, is a chlorinated phenol that has been used as a fungicide, herbicide, insecticide, antiseptic, defoliant, and glue preservative. It is a clear to yellowish crystalline solid with a strong, phenolic odor. It decomposes on heating to produce toxic and corrosive fumes including hydrogen chloride and chlorine.
"
C6H3Br3O,"2,4,6-Tribromophenol","2,4,6-Tribromophenol (TBP) is a brominated derivative of phenol.  It is used as a fungicide, as a wood preservative, and an intermediate in the preparation of flame retardants.
"
C6H2Cl3NO,"2,6-Dichloroquinone-4-chloroimideGibbs reagent","2,6-Dichloroquinone-4-chloroimide (Gibbs reagent) is an organic compound used as an colorimetric indicator to detect phenolic compounds. Upon reaction with phenol itself, 2,6-dichlorophenolindophenol is formed, a chemical that is used as a redox indicator.
"
C6F5COOH,pentafluorobenzoic acid,"Pentafluorobenzoic acid  (PFBA) is an organofluorine compound with the formula C6F5CO2H.  It is a white crystalline powder that has a high solubility in water.  Its pKa of 1.48 indicates that it is a strong acid.
"
C5H13N,"N,N-diethylmethylamine","N,N-Diethylmethylamine (diethylmethylamine, DEMA) is a tertiary amine with the formula C5H13N. N,N-Diethylmethylamine is a clear, colorless to pale yellow liquid at room temperature, and is used in various industrial and scientific applications including water desalination as well as analytical and organic chemistry.
"
C5H12O5,xylitol,"Xylitol is a chemical compound with the formula C5H12O5, or HO(CH2)(CHOH)3(CH2)OH; specifically, one particular stereoisomer with that structural formula. It is a colorless or white crystalline solid that is freely soluble in water. It can be classified as a polyalcohol  and a sugar alcohol, specifically an alditol. The name derives from Ancient Greek: ξύλον, xyl[on] 'wood', with the suffix -itol used to denote sugar alcohols.
"
C5H12O4,pentaerythritol,"Slightly soluble in:methanol, ethanol, glycerol, ethylene glycol, formamide;
"
C5H12O2,neopentyl glycol,"Neopentyl glycol (IUPAC name: 2,2-dimethylpropane-1,3-diol) is an organic chemical compound. It is used in the synthesis of polyesters, paints, lubricants, and plasticizers. When used in the manufacture of polyesters, it enhances the stability of the product towards heat, light, and water. By esterification reaction with fatty or carboxylic acids, synthetic lubricating esters with reduced potential for oxidation or hydrolysis, compared to natural esters, can be produced.
"
C5H12,pentane,"Pentane is an organic compound with the formula C5H12—that is, an alkane with five carbon atoms. The term may refer to any of three structural isomers, or to a mixture of them: in the IUPAC nomenclature, however, pentane means exclusively the n-pentane isomer, in which case pentanes refers to a mixture of them; the other two are called isopentane (methylbutane) and neopentane (dimethylpropane). Cyclopentane is not an isomer of pentane because it has only 10 hydrogen atoms where pentane has 12.
"
C5H11NO2S,methionine  Met,"Methionine (symbol Met or M) (/mɪˈθaɪəniːn/) is an essential amino acid in humans.
"
C5H11NO2,valine  Val,"Valine (symbol Val or V) is an α-amino acid that is used in the biosynthesis of proteins. It contains an α-amino group (which is in the protonated −NH3+ form under biological conditions), an α-carboxylic acid group (which is in the deprotonated −COO− form under biological conditions), and a side chain isopropyl group, making it a non-polar aliphatic amino acid. Valine is essential in humans, meaning the body cannot synthesize it; it must be obtained from dietary sources which are foods that contain proteins, such as meats, dairy products, soy products, beans and legumes. It is encoded by all codons starting with GU (GUU, GUC, GUA, and GUG).
"
C5H10O4,deoxyribose,"Deoxyribose, or more precisely 2-deoxyribose, is a monosaccharide with idealized formula H−(C=O)−(CH2)−(CHOH)3−H. Its name indicates that it is a deoxy sugar, meaning that it is derived from the sugar ribose by loss of a hydroxy group. Discovered in 1929 by Phoebus Levene, deoxyribose is most notable for its presence in DNA. Since the pentose sugars arabinose and ribose only differ by the stereochemistry at C2′, 2-deoxyribose and 2-deoxyarabinose are equivalent, although the latter term is rarely used because ribose, not arabinose, is the precursor to deoxyribose.
"
C5H10O2,3-Methylbutanoic acid,"3-Methylbutanoic acid, also known as β-methylbutyric acid or more commonly isovaleric acid, is a branched-chain alkyl carboxylic acid with the chemical formula (CH3)2CHCH2CO2H.  It is classified as a short-chain fatty acid. Like other low-molecular-weight carboxylic acids, it has an unpleasant odor.  The compound occurs naturally and can be found in many foods, such as cheese, soy milk, and apple juice.
"
C5H10O2,valeric acid,"Valeric acid or  pentanoic acid is a straight-chain alkyl carboxylic acid with the chemical formula CH3(CH2)3COOH. Like other low-molecular-weight carboxylic acids, it has an unpleasant odor.  It is found in the perennial flowering plant Valeriana officinalis, from which it gets its name. Its primary use is in the synthesis of its esters. Salts and esters of valeric acid are known as valerates or pentanoates. Volatile esters of valeric acid tend to have pleasant odors and are used in perfumes and cosmetics. Several, including ethyl valerate and pentyl valerate are used as food additives because of their fruity flavors.
"
C5H10O2,pivalic acid,"Pivalic acid is a carboxylic acid with a molecular formula of (CH3)3CCO2H. This colourless, odiferous organic compound is solid at room temperature. Two abbreviation for pivalic acid are t-BuC(O)OH and PivOH.   The pivalyl or pivaloyl group is abbreviated t-BuC(O).
"
C5H5N3O,pyrazinamide,"Pyrazinamide is a medication used to treat tuberculosis. For active tuberculosis, it is often used with rifampicin, isoniazid, and either streptomycin or ethambutol. It is not generally recommended for the treatment of latent tuberculosis. It is taken by mouth.
"
C6H4O2,orthobenzoquinone,NO DESCRIPTION
C5H5NO,3-pyridinol,NO DESCRIPTION
C5H5N,pyridine,"Pyridine is a basic heterocyclic organic compound with the chemical formula C5H5N. It is structurally related to benzene, with one methine group (=CH−) replaced by a nitrogen atom (=N−).  It is a highly flammable, weakly alkaline, water-miscible liquid with a distinctive, unpleasant fish-like smell. Pyridine is colorless, but older or impure samples can appear yellow. The pyridine ring occurs in many important compounds, including agrochemicals, pharmaceuticals, and vitamins. Historically, pyridine was produced from coal tar. As of 2016, it is synthesized on the scale of about 20,000 tons per year worldwide.
"
C4H10O2,tert-Butyl hydroperoxide,"tert-Butyl hydroperoxide (tBuOOH) is the organic compound with the formula (CH3)3COOH. It is one of the most widely used hydroperoxides in a variety of oxidation processes, like the Halcon process.  It is normally supplied as a 69–70% aqueous solution.  Compared to hydrogen peroxide and organic peracids, tert-butyl hydroperoxide is less reactive and more soluble in organic solvents. Overall, it is renowned for the convenient handling properties of its solutions. Its solutions in organic solvents are highly stable.
"
C4H10O2,"2,3-Butanediol","2,3-Butanediol is the organic compound with the formula (CH3CHOH)2.  It is classified as a vic-diol (glycol).  It exists as three stereoisomers, a chiral pair and the meso isomer.  All are colorless liquids.  Applications include precursors to various plastics and pesticides.
"
C4H10O2,"1,4-Butanediol","1,4-Butanediol, also called Butane-1,4-diol, is a primary alcohol and an organic compound with the formula HOCH2CH2CH2CH2OH. It is a colorless viscous liquid first synthesized in 1890 via acidic hydrolysis of N,N'-dinitro-1,4-butanediamine by Dutch chemist Pieter Johannes Dekkers, who called it ""tetramethylene glycol"".
"
C4H10O2,"1,3-Butanediol","1,3-Butanediol is an  organic compound with the formula CH3CH(OH)CH2CH2OH. With two alcohol functional groups, the molecule is classified as a diol. The compound is also chiral, but most studies do not distinguish the enantiomers. The compound is a colorless, bittersweet, water-soluble liquid. It is one of four common structural isomers of butanediol. It is used in flavoring.
"
C4H10O2,"1,2-Butanediol","1,2-Butanediol is the organic compound with the formula HOCH2(HO)CHCH2CH3.  It is classified as a vic-diol (glycol).  It is chiral, although typically it is encountered as the racemic mixture.  It is a colorless liquid.
"
C4H10O,diethyl ether,"Diethyl ether, or simply ether, is an organic compound in the ether class with the formula C4H10O, (CH3CH2)2O or (C2H5)2O, sometimes abbreviated as Et2O.[a] It is a colourless, highly volatile, sweet-smelling (""ethereal odour""), extremely flammable liquid. It is commonly used as a solvent in laboratories and as a starting fluid for some engines. It was formerly used as a general anesthetic, until non-flammable drugs were developed, such as halothane. It has been used as a recreational drug to cause intoxication.
"
C4H10,2-methylpropane,NO DESCRIPTION
C4H10,butane,"Butane (/ˈbjuːteɪn/) or n-butane is an alkane with the formula C4H10. Butane is a highly flammable, colorless, easily liquefied gas that quickly vaporizes at room temperature and pressure. The name butane comes from the root but- (from butyric acid, named after the Greek word for butter) and the suffix -ane. It was discovered in crude petroleum in 1864 by Edmund Ronalds, who was the first to describe its properties, and commercialized by Walter O. Snelling in early 1910s.
"
C4H9OH,butyl alcohol,"Butanol (also called butyl alcohol) is a four-carbon alcohol with a formula of C4H9OH, which occurs in five isomeric structures (four structural isomers), from a straight-chain primary alcohol to a branched-chain tertiary alcohol; all are a butyl or isobutyl group linked to a hydroxyl group (sometimes represented as BuOH, 1-BuOH, i-BuOH, and t-BuOH). These are 1-butanol, two stereoisomers of sec-butyl alcohol, isobutanol and tert-butyl alcohol. Butanol is primarily used as a solvent and as an intermediate in chemical synthesis, and may be used as a fuel. Biologically produced butanol is called biobutanol, which may be n-butanol or isobutanol.
"
C4H10O2,Dimethoxyethane,"Dimethoxyethane, also known as glyme, monoglyme, dimethyl glycol, ethylene glycol dimethyl ether, dimethyl cellosolve, and DME, is a colorless, aprotic, and liquid ether that is used as a solvent, especially in batteries. Dimethoxyethane is miscible with water.
"
C4H9Na,n-Butylsodium,"n-Butylsodium CH3CH2CH2CH2Na is an organometallic compound with the idealized formula NaC4H9.  Like other simple organosodium compounds, it is polymeric and highly basic. In contrast to n-butyllithium, n-butylsodium is only of specialized academic interest.
"
C4H9NO2,γ-aminobutyric acid,"γ-Aminobutyric acid (gamma-aminobutyric acid) /ˈɡæmə əˈmiːnoʊbjuːˈtɪrɪk ˈæsɪd/, or GABA /ˈɡæbə/, is the chief inhibitory neurotransmitter in the developmentally mature mammalian central nervous system. Its principal role is reducing neuronal excitability throughout the nervous system.
"
C4H9Li,n-butyllithium,"n-Butyllithium C4H9Li (abbreviated n-BuLi) is an organolithium reagent. It is widely used as a polymerization initiator in the production of elastomers such as polybutadiene or styrene-butadiene-styrene (SBS). Also, it is broadly employed as a strong base (superbase) in the synthesis of organic compounds as in the pharmaceutical industry.
"
C4H9ClHg,n-Butylmercuric chloride,"n-Butylmercuric chloride is an organic mercury salt that is used as a catalyst and a precursor to other oganomercuric compounds.
"
C4H8O3,gamma-Hydroxybutyric acid,"gamma-Hydroxybutyric acid (or γ-hydroxybutyric acid (GHB), also known as 4-hydroxybutanoic acid) is a naturally occurring neurotransmitter and a depressant drug. It is a precursor to GABA, glutamate, and glycine in certain brain areas.  It acts on the GHB receptor and is a weak agonist at the GABAB receptor. GHB has been used in the medical setting as a general anesthetic and as treatment for cataplexy, narcolepsy, and alcoholism. The substance is also used illicitly for various reasons, including as a performance-enhancing drug, date rape drug, and as a recreational drug.
"
C4H8O2,ethyl acetate,"Ethyl acetate (systematically ethyl ethanoate, commonly abbreviated EtOAc, ETAC or EA) is the organic compound with the formula CH3CO2CH2CH3, simplified to C4H8O2. This colorless liquid has a characteristic sweet smell (similar to pear drops) and is used in glues, nail polish removers, and in the decaffeination process of tea and coffee. Ethyl acetate is the ester of ethanol and acetic acid; it is manufactured on a large scale for use as a solvent.
"
C4H8O,tetrahydrofuran  THF,"Tetrahydrofuran (THF), or oxolane, is an organic compound with the formula (CH2)4O. The compound is classified as heterocyclic compound, specifically a cyclic ether.  It is a colorless, water-miscible organic liquid with low viscosity.  It is mainly used as a precursor to polymers.  Being polar and having a wide liquid range, THF is a versatile solvent.
"
C4H8N2O3,asparagine  Asn,"Asparagine (symbol Asn or N) is an α-amino acid that is used in the biosynthesis of proteins. It contains an α-amino group (which is in the protonated −NH+3 form under biological conditions), an α-carboxylic acid group (which is in the deprotonated −COO− form under biological conditions), and a side chain carboxamide, classifying it as a polar (at physiological pH), aliphatic amino acid. It is non-essential in humans, meaning the body can synthesize it. It is encoded by the codons AAU and AAC.
"
C4H8,cyclobutane,"Cyclobutane is a cycloalkane and organic compound with the formula (CH2)4. Cyclobutane is a colourless gas and is commercially available as a liquefied gas. Derivatives of cyclobutane are called cyclobutanes. Cyclobutane itself is of no commercial or biological significance, but more complex derivatives are important in biology and biotechnology.
"
C4H7NO4,aspartic acid  Asp,"Aspartic acid (symbol Asp or D; the ionic form is known as aspartate), is an α-amino acid that is used in the biosynthesis of proteins. The L-isomer of aspartic acid is one of the 22 proteinogenic amino acids, i.e., the building blocks of proteins. 
D-aspartic acid is one of two D-amino acids commonly found in mammals. Apart from a few rare exceptions, D-aspartic acid is not used for protein synthesis but is incorporated into some peptides and plays a role as a neurotransmitter/neuromodulator.
"
C4H9NO3,threonine  Thr,"Threonine (symbol Thr or T) is an amino acid that is used in the biosynthesis of proteins. It contains an α-amino group (which is in the protonated −NH+3 form when dissolved in water), a carboxyl group (which is in the deprotonated −COO− form when dissolved in water), and a side chain containing a hydroxyl group, making it a polar, uncharged amino acid. It is essential in humans, meaning the body cannot synthesize it: it must be obtained from the diet. Threonine is synthesized from aspartate in bacteria such as E. coli. It is encoded by all the codons starting AC (ACU, ACC, ACA, and ACG).
"
C4H10O2,2-Ethoxyethanol,"2-Ethoxyethanol, also known by the trademark Ethyl cellosolve, is a solvent used widely in commercial and industrial applications. It is a clear, colorless, nearly odorless liquid that is miscible with water, ethanol, diethyl ether, acetone, and ethyl acetate.
"
C4H10O2,1-Methoxy-2-propanol,"Propylene glycol methyl ether (PGME or 1-methoxy-2-propanol) is an organic solvent with a wide variety of industrial and commercial uses. Similar to other glycol ethers, it is used as a carrier/solvent in printing/writing inks and paints/coatings. It also finds use as an industrial and commercial paint stripper.  It is used as an antifreeze in diesel engines.
"
C4H10O3,diethylene glycol,"Diethylene glycol (DEG) is an organic compound with the formula (HOCH2CH2)2O. It is a colorless, practically odorless, and hygroscopic liquid with a sweetish taste. It is a four carbon dimer of ethylene glycol. It is miscible in water, alcohol, ether, acetone, and ethylene glycol. DEG is a widely used solvent. It can be a normal ingredient in various consumer products, and it can be a contaminant. DEG has also been misused to sweeten wine and beer, and to viscosify oral and topical pharmaceutical products. Its use has resulted in many epidemics of poisoning since the early 20th century.
"
C5H5IN2,2-amino-5-iodopyridine,NO DESCRIPTION
C5H5ClN2,4-amino-2-chloropyridine,NO DESCRIPTION
C5H5ClN2,2-amino-5-chloropyridine,NO DESCRIPTION
C5H5ClN2,2-amino-4-chloropyridine,NO DESCRIPTION
C5H5BrN2,2-amino-5-bromopyridine,NO DESCRIPTION
C5H5−,cyclopentadienyl anion,"In chemistry, the cyclopentadienyl anion or cyclopentadienide is an aromatic species with a formula of [C5H5]− and abbreviated as Cp−. It is formed by the deprotonation of cyclopentadiene. The cyclopentadienyl anion is a ligand which binds to a metal in organometallic chemistry.
"
C5H4O2S,b-thiophenic acid,NO DESCRIPTION
C5H4O2,furfural,"Furfural is an organic compound with the formula C4H3OCHO. It is a colorless liquid, although commercial samples are often brown. It has an aldehyde group attached to the 2-position of furan. It is a product of the dehydration of sugars, as occurs in a variety of agricultural byproducts, including corncobs, oat, wheat bran, and sawdust. The name furfural comes from the Latin word furfur, meaning bran, referring to its usual source. Furfural is only derived from dryed biomass, In addition to ethanol, acetic acid, and sugar, furfural is one of the oldest organic chemicals available readily purified from natural precursors.
"
C5H4O,cyclopentadienone,"Cyclopentadienone is an organic compound with molecular formula C5H4O.  The parent cyclopentadienone is rarely encountered, because it rapidly dimerizes. Many substituted derivatives are known, notably tetraphenylcyclopentadienone.  Such compounds are used as ligands in organometallic chemistry.
"
